direction,test_subset,representation,n,R2,RMSE,spearman
QAC-105 -> Q-HERO,all (excl. shared),expert (Good/Bad),410,0.002732841395213348,1.7160660875286473,0.08352156089664996
QAC-105 -> Q-HERO,all (excl. shared),multi-regression,410,-0.09492842562785109,1.7981301192016617,-0.038375558620316406
QAC-105 -> Q-HERO,all (excl. shared),MolFormer (raw),410,-0.09567474799414821,1.7987428332804567,0.1303108283144972
QAC-105 -> Q-HERO,unseen by expert enc.,expert (Good/Bad),189,-0.011783633398747106,1.6720841909307815,0.0757214087295867
QAC-105 -> Q-HERO,unseen by expert enc.,multi-regression,189,-0.10508824854110377,1.7474823425538755,-0.1689069042285337
QAC-105 -> Q-HERO,unseen by expert enc.,MolFormer (raw),189,-0.12896967575111495,1.7662633370157508,-0.059740991787753814
Q-HERO -> QAC-105,all (excl. shared),expert (Good/Bad),104,-0.12682527157901013,2.0373891045864445,-0.012131073214921765
Q-HERO -> QAC-105,all (excl. shared),multi-regression,104,-0.096807042975396,2.0100682576317546,0.04145050082671157
Q-HERO -> QAC-105,all (excl. shared),MolFormer (raw),104,-0.02322752155377339,1.941474972743319,-0.019375575161211897
