ratio_pct,rep,approach,abs_residual
10,molformer,baseline,0.8244388381626395
10,molformer,baseline,5.7691870054096945
10,molformer,baseline,0.11545175638828642
10,molformer,baseline,2.113876514661575
10,molformer,baseline,1.1105019970081456
10,molformer,baseline,2.4042705950512175
10,molformer,baseline,1.1650327460847558
10,molformer,baseline,1.5622170058452363
10,molformer,baseline,1.252212388323652
10,molformer,baseline,1.5376359836585292
10,molformer,baseline,1.4864179000415634
10,molformer,baseline,0.6014689761288023
10,molformer,baseline,1.2218434921334316
10,molformer,baseline,0.5949395215121309
10,molformer,baseline,2.590874293529583
10,molformer,baseline,4.786367032078758
10,molformer,baseline,3.6916415464830585
10,molformer,baseline,0.09627475107872385
10,molformer,baseline,2.718059082202564
10,molformer,baseline,1.0423728498197158
10,molformer,baseline,0.07616179928410283
10,molformer,baseline,3.5986709477528365
10,molformer,baseline,2.004122989017485
10,molformer,baseline,0.9444598538988016
10,molformer,baseline,0.280983365618495
10,molformer,baseline,2.2403731279963313
10,molformer,baseline,0.06177458468624586
10,molformer,baseline,2.0035497214945317
10,molformer,baseline,1.9825300348720247
10,molformer,baseline,3.657943415908186
10,molformer,baseline,0.2584353699918618
10,molformer,baseline,3.03699107343962
10,molformer,baseline,1.6538836554728258
10,molformer,baseline,0.1390856146621422
10,molformer,baseline,4.05606648147205
10,molformer,baseline,0.4384646503973464
10,molformer,baseline,0.47470434931310246
10,molformer,baseline,1.6842248306414245
10,molformer,baseline,0.7016495809760026
10,molformer,baseline,2.5097125017951973
10,molformer,baseline,1.7382057741571058
10,molformer,baseline,2.9284692437057536
10,molformer,baseline,3.3853509500859884
10,molformer,baseline,1.0644199314447134
10,molformer,baseline,0.3904938176785937
10,molformer,baseline,3.9658837559773383
10,molformer,baseline,0.8654431097477662
10,molformer,baseline,1.8085018009983331
10,molformer,baseline,1.8795199962304898
10,molformer,baseline,0.8059378974800664
10,molformer,baseline,3.151443310927305
10,molformer,baseline,1.0720521712173516
10,molformer,baseline,1.273432334799716
10,molformer,baseline,3.2182847347828916
10,molformer,baseline,2.8390217249745833
10,molformer,baseline,1.1886668926356676
10,molformer,baseline,3.8846906514599695
10,molformer,baseline,1.2625252686919612
10,molformer,baseline,1.5572574045536787
10,molformer,baseline,0.5227641492773594
10,molformer,baseline,0.3437657668180978
10,molformer,task_id,0.0885633984353662
10,molformer,task_id,5.248905036627706
10,molformer,task_id,1.3457904544229962
10,molformer,task_id,1.275231125545015
10,molformer,task_id,0.6057781983210786
10,molformer,task_id,4.267468093424231
10,molformer,task_id,1.8919149454728243
10,molformer,task_id,2.025583040285345
10,molformer,task_id,1.0031930711010153
10,molformer,task_id,1.9269447292689064
