can,y,task,scaffold
C[N+](CCO)(CCO)CCCCCCCCCCSc1nc2ccccc2o1.[Br-],0,binary,c1ccc2ocnc2c1
C[N+](CCO)(CCO)CCCCCCCCCCCCSc1nc2ccccc2o1.[Br-],1,binary,c1ccc2ocnc2c1
C[N+](CCO)(CCO)CCCCCCSc1nc2ccccc2s1.[Br-],0,binary,c1ccc2scnc2c1
C[N+](CCO)(CCO)CCCCCCCCSc1nc2ccccc2s1.[Br-],0,binary,c1ccc2scnc2c1
C[N+](CCO)(CCO)CCCCCCCCCCSc1nc2ccccc2s1.[Br-],1,binary,c1ccc2scnc2c1
C[N+](CCO)(CCO)CCCCCCCCCCCCSc1nc2ccccc2s1.[Br-],1,binary,c1ccc2scnc2c1
C[N+](CCO)(CCCO)CCCCCCSc1nnc(-c2ccc(F)cc2)o1.[Br-],0,binary,c1ccc(-c2nnco2)cc1
C[N+](CCO)(CCCO)CCCCCCCCSc1nnc(-c2ccc(F)cc2)o1.[Br-],0,binary,c1ccc(-c2nnco2)cc1
C[N+](CCO)(CCCO)CCCCCCCCCCSc1nnc(-c2ccc(F)cc2)o1.[Br-],0,binary,c1ccc(-c2nnco2)cc1
C[N+](CCO)(CCCO)CCCCCCCCCCCCSc1nnc(-c2ccc(F)cc2)o1.[Br-],0,binary,c1ccc(-c2nnco2)cc1
C[N+](CCO)(CCCO)CCCCCCSc1nnc(-c2ccc(C(F)(F)F)cc2)o1.[Br-],0,binary,c1ccc(-c2nnco2)cc1
C[N+](CCO)(CCCO)CCCCCCCCSc1nnc(-c2ccc(C(F)(F)F)cc2)o1.[Br-],0,binary,c1ccc(-c2nnco2)cc1
C[N+](CCO)(CCCO)CCCCCCCCCCSc1nnc(-c2ccc(C(F)(F)F)cc2)o1.[Br-],0,binary,c1ccc(-c2nnco2)cc1
C[N+](CCO)(CCCO)CCCCCCCCCCCCSc1nnc(-c2ccc(C(F)(F)F)cc2)o1.[Br-],1,binary,c1ccc(-c2nnco2)cc1
CC(C)(C)c1ccc(-c2nnc(SCCCCCC[N+](C)(CCO)CCCO)o2)cc1.[Br-],0,binary,c1ccc(-c2nnco2)cc1
CC(C)(C)c1ccc(-c2nnc(SCCCCCCCC[N+](C)(CCO)CCCO)o2)cc1.[Br-],0,binary,c1ccc(-c2nnco2)cc1
CC(C)(C)c1ccc(-c2nnc(SCCCCCCCCCC[N+](C)(CCO)CCCO)o2)cc1.[Br-],1,binary,c1ccc(-c2nnco2)cc1
CC(C)(C)c1ccc(-c2nnc(SCCCCCCCCCCCC[N+](C)(CCO)CCCO)o2)cc1.[Br-],1,binary,c1ccc(-c2nnco2)cc1
Cc1nnc(SCCCCCC[N+](C)(CCO)CCCO)o1.[Br-],0,binary,c1nnco1
Cc1nnc(SCCCCCCCC[N+](C)(CCO)CCCO)o1.[Br-],0,binary,c1nnco1
Cc1nnc(SCCCCCCCCCC[N+](C)(CCO)CCCO)o1.[Br-],0,binary,c1nnco1
Cc1nnc(SCCCCCCCCCCCC[N+](C)(CCO)CCCO)o1.[Br-],1,binary,c1nnco1
Cc1ccc2c(c1)/C(=N/NC(=O)C[N+](C)(C)C)C(=O)N2.[Cl-],0,binary,N=C1C(=O)Nc2ccccc21
C[N+](C)(C)CC(=O)N/N=C1\C(=O)Nc2ccc(Cl)cc21.[Cl-],0,binary,N=C1C(=O)Nc2ccccc21
C[N+](C)(C)CC(=O)N/N=C1\C(=O)Nc2ccc(Br)cc21.[Cl-],0,binary,N=C1C(=O)Nc2ccccc21
C[N+](C)(C)CC(=O)N/N=C1\C(=O)Nc2cc(Br)ccc21.[Cl-],0,binary,N=C1C(=O)Nc2ccccc21
Cc1c(C(C)(C)C)cc(CN2C(=O)/C(=N\NC(=O)C[n+]3ccccc3)c3ccccc32)cc1C(C)(C)C.[Cl-],0,binary,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1ccc2c(c1)/C(=N/NC(=O)C[n+]1ccccc1)C(=O)N2Cc1cc(C(C)(C)C)c(C)c(C(C)(C)C)c1.[Cl-],0,binary,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
CCc1ccc2c(c1)/C(=N/NC(=O)C[n+]1ccccc1)C(=O)N2Cc1cc(C(C)(C)C)c(C)c(C(C)(C)C)c1.[Cl-],0,binary,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
Cc1c(C(C)(C)C)cc(CN2C(=O)/C(=N\NC(=O)C[n+]3ccccc3)c3cc(Cl)ccc32)cc1C(C)(C)C.[Cl-],0,binary,O=C(C[n+]1ccccc1)NN=C1C(=O)N(Cc2ccccc2)c2ccccc21
