can,y,task,scaffold
C=CC1C[N+]2(CCCCCCCCCCCCCC)CCC1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.[Br-],1.5,reg,c1ccc2c(CC3CC4CC[NH+]3CC4)ccnc2c1
C=CC1C[N+]2(CCCCCCCCCCCCCCCC)CCC1C[C@H]2[C@@H](O)c1cc[n+](C)c2ccc(OC)cc12.[Br-].[I-],0.5,reg,c1ccc2c(CC3CC4CC[NH+]3CC4)cc[nH+]c2c1
C=CC1C[N+]2(CCCCCCCCCCCCCCCC)CCC1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.[Br-],2.0,reg,c1ccc2c(CC3CC4CC[NH+]3CC4)ccnc2c1
C=CC1C[N+]2(CCCCCCCCCCCCCCCCCC)CCC1C[C@H]2[C@@H](O)c1cc[n+](C)c2ccc(OC)cc12.[Br-].[I-],0.5,reg,c1ccc2c(CC3CC4CC[NH+]3CC4)cc[nH+]c2c1
C=CC1C[N+]2(CCCCCCCCCCCCCCCCCC)CCC1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.[Br-],3.9886399617499584,reg,c1ccc2c(CC3CC4CC[NH+]3CC4)ccnc2c1
C=CC[N+](C)(CCCC[N+](C)(C)CCCCCCCCCCCC)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-].[Br-],0.5,reg,acyclic
C=CC[n+]1ccn(CCCCCCCCCCCCCCCC)c1C.[Br-],1.232660756790275,reg,c1c[nH+]c[nH]1
CC(=O)OC[n+]1ccccc1.[Cl-],14.057924523589229,reg,c1cc[nH+]cc1
CC(=O)[O-].CC(=O)[O-].NC(=N\CCCCC/N=C(N)/N=C(\N)[NH2+]c1ccc(Cl)cc1)/N=C(\N)[NH2+]c1ccc(Cl)cc1,4.853349213740279,reg,C(=NC=NCCCCCN=CN=C[NH2+]c1ccccc1)[NH2+]c1ccccc1
CC(C)(C)C#C/C=C/C[N+](C)(Cc1nc(CO)c(CO)c2c1OC(C)(C)OC2)Cc1cccc2ccccc12.[Br-],6.714053358976038,reg,c1ccc2c(C[NH2+]Cc3nccc4c3OCOC4)cccc2c1
CC(C)(C)C#C/C=C/C[N+](C)(Cc1nc2c(c3c1OC(C)(C)OC3)COC(C)(C)OC2)Cc1cccc2ccccc12.[Br-],6.622221007912219,reg,c1ccc2c(C[NH2+]Cc3nc4c(c5c3OCOC5)COCOC4)cccc2c1
CC(C)(C)c1ccc(-c2nnc(SCCCCCCCCCCCC[N+](C)(CCO)CCCO)o2)cc1.[Br-],3.34581965726388,reg,c1ccc(-c2nnco2)cc1
CC(C)(C)c1ccc(-c2nnc(SCCCCCCCCCC[N+](C)(CCO)CCCO)o2)cc1.[Br-],3.9132080144009516,reg,c1ccc(-c2nnco2)cc1
CC(C)(C)c1ccc(-c2nnc(SCCCCCCCC[N+](C)(CCO)CCCO)o2)cc1.[Br-],4.483898979886435,reg,c1ccc(-c2nnco2)cc1
CC(C)(C)c1ccc(-c2nnc(SCCCCCC[N+](C)(CCO)CCCO)o2)cc1.[Br-],5.558233023639784,reg,c1ccc(-c2nnco2)cc1
CC(C)(C)c1ccc(Cn2c[n+](CCCCCCCCCCC[n+]3cnn(Cc4ccc(C(C)(C)C)cc4)c3)cn2)cc1.[Br-].[Br-],0.9252590509520486,reg,c1ccc(Cn2c[n+](CCCCCCCCCCC[n+]3cnn(Cc4ccccc4)c3)cn2)cc1
CC(C)(C)c1ccc(Cn2c[n+](CCCCCCCCCC[n+]3cnn(Cc4ccc(C(C)(C)C)cc4)c3)cn2)cc1.[Br-].[Br-],1.9526923250271981,reg,c1ccc(Cn2c[n+](CCCCCCCCCC[n+]3cnn(Cc4ccccc4)c3)cn2)cc1
CC(C)(C)c1ccc(Cn2cc[n+](CCCCCCCCCCCC[n+]3ccn(Cc4ccc(C(C)(C)C)cc4)c3)c2)cc1.[Br-].[Br-],-0.5979001137328926,reg,c1ccc(Cn2cc[n+](CCCCCCCCCCCC[n+]3ccn(Cc4ccccc4)c3)c2)cc1
CC(C)(C)c1ccc(Cn2cc[n+](CCCCCCCCCCC[n+]3ccn(Cc4ccc(C(C)(C)C)cc4)c3)c2)cc1.[Br-].[Br-],0.4290921851654925,reg,c1ccc(Cn2cc[n+](CCCCCCCCCCC[n+]3ccn(Cc4ccccc4)c3)c2)cc1
CC(C)(C)c1ccc(Cn2cc[n+](CCCCCCCCCC[n+]3ccn(Cc4ccc(C(C)(C)C)cc4)c3)c2)cc1.[Br-].[Br-],0.9565991445572934,reg,c1ccc(Cn2cc[n+](CCCCCCCCCC[n+]3ccn(Cc4ccccc4)c3)c2)cc1
CC(C)c1cc2c(OCC(=O)NCCC[N+](C)(C)C)c(c1)Sc1cc(C(C)C)cc(c1OCC(=O)NCCC[N+](C)(C)C)Sc1cc(C(C)C)cc(c1OCC(=O)NCCC[N+](C)(C)C)Sc1cc(C(C)C)cc(c1OCC(=O)NCCC[N+](C)(C)C)S2.[Cl-].[Cl-].[Cl-].[Cl-],5.478205486683268,reg,c1cc2cc(c1)Sc1cccc(c1)Sc1cccc(c1)Sc1cccc(c1)S2
CC(C)c1cc2c(OCC(=O)NCCC[N+](C)(C)Cc3ccccc3)c(c1)Sc1cc(C(C)C)cc(c1OCC(=O)NCCC[N+](C)(C)Cc1ccccc1)Sc1cc(C(C)C)cc(c1OCC(=O)NCCC[N+](C)(C)Cc1ccccc1)Sc1cc(C(C)C)cc(c1OCC(=O)NCCC[N+](C)(C)Cc1ccccc1)S2.[Cl-].[Cl-].[Cl-].[Cl-],5.200803252246493,reg,O=C(COc1c2cccc1Sc1cccc(c1OCC(=O)NCCC[NH2+]Cc1ccccc1)Sc1cccc(c1OCC(=O)NCCC[NH2+]Cc1ccccc1)Sc1cccc(c1OCC(=O)NCCC[NH2+]Cc1ccccc1)S2)NCCC[NH2+]Cc1ccccc1
CC(C)c1cc2c(OCCNCCC[N+](C)(C)C)c(c1)Sc1cc(C(C)C)cc(c1OCCNCCC[N+](C)(C)C)Sc1cc(C(C)C)cc(c1OCCNCCC[N+](C)(C)C)Sc1cc(C(C)C)cc(c1OCCNCCC[N+](C)(C)C)S2.[Cl-].[Cl-].[Cl-].[Cl-],4.035532469749474,reg,c1cc2cc(c1)Sc1cccc(c1)Sc1cccc(c1)Sc1cccc(c1)S2
