mol,endpoint,absres_expert,absres_regression,absres_molformer,delta_expert_minus_reg
0,MIC Sa,0.938471308560777,1.2084692220857884,0.6402496150085326,-0.26999791352501146
0,MBC Sa,2.2887173767887434,4.144370571903198,2.824247084862402,-1.8556531951144546
0,MIC Ec,5.191302223505544,5.816445364027964,5.584138886070431,-0.6251431405224199
0,MBC Ec,4.908644366064506,5.387086741757549,5.265627205779893,-0.47844237569304315
1,MIC Sa,0.21823724319065185,0.1487385841072968,0.25990436281319895,0.06949865908335506
1,MBC Sa,1.253740760942128,3.023438505483994,1.870894597550023,-1.7696977445418658
1,MIC Ec,3.0246379180092053,3.8003256339393654,3.7261062039572534,-0.7756877159301601
1,MBC Ec,3.945383508902702,4.335542735811595,4.399129164697354,-0.39015922690889315
2,MIC Sa,1.3009400560292557,0.9204732816482373,1.3126012822663369,0.3804667743810184
2,MBC Sa,0.657677647349105,0.690737671513832,0.054443143314010456,-0.033060024164726975
2,MIC Ec,2.966393456437478,3.976066978983943,3.7635431132847446,-1.009673522546465
2,MBC Ec,2.866088182495975,3.56496756468903,3.437067710722217,-0.6988793821930548
3,MIC Sa,3.0583166508605046,2.68219173064249,2.971194734826669,0.3761249202180146
3,MBC Sa,2.10432618201725,1.2865708650718215,1.4340230461154904,0.8177553169454286
3,MIC Ec,1.5653315305498423,1.1256010752116592,1.4071336728150334,0.4397304553381831
3,MBC Ec,1.297190837339235,0.7667632464329075,0.8892158000638859,0.5304275909063274
4,MIC Sa,2.0978866374752596,1.9092220729367448,1.9973511698019626,0.18866456453851477
4,MBC Sa,1.2234194947060741,0.0418311332182264,0.17945214013881605,1.1815883614878477
4,MIC Ec,1.5444758388429194,1.3667154733859852,1.7012752924194112,0.1777603654569342
4,MBC Ec,0.7713127087071232,0.8569553915523356,1.1769844179996332,-0.08564268284521237
5,MIC Sa,1.308571605277033,1.2011327282080573,1.0695990147825356,0.10743887706897581
5,MBC Sa,2.265601998731867,1.106045523833985,1.1285819276812,1.1595564748978822
5,MIC Ec,1.2992514636880186,0.8326434898757809,1.6747255137272203,0.46660797381223773
5,MBC Ec,0.585303532363147,0.32080158195777564,1.0610542632439768,0.2645019504053714
6,MIC Sa,2.4564797657062405,1.7901618409355171,2.092617706716177,0.6663179247707234
6,MBC Sa,0.3114058280111336,0.7889963993295628,1.0035723001780945,-0.4775905713184292
6,MIC Ec,1.2474159865906982,1.4577577588190804,1.5675312543191788,-0.21034177222838224
6,MBC Ec,0.6032517722282433,0.9301259306199752,0.9701561651586257,-0.32687415839173184
7,MIC Sa,2.3245494023699522,2.586820841794603,2.4774615298381217,-0.2622714394246506
7,MBC Sa,2.711042515610759,3.367766627061706,3.160689727210014,-0.6567241114509472
7,MIC Ec,2.954160932679568,3.8326731684805413,3.928171919694093,-0.8785122358009732
7,MBC Ec,2.4087963310355534,3.370318161729624,3.5269368537558106,-0.9615218306940707
8,MIC Sa,0.6526153651331978,0.42762158621335944,0.35657293438893634,0.2249937789198384
8,MBC Sa,0.7992013168495808,1.3438048991944864,1.164431709575401,-0.5446035823449056
8,MIC Ec,1.1046891786864528,0.02973843522856834,0.02040975345143714,1.0749507434578844
8,MBC Ec,1.4296732105524752,0.4504039290910695,0.38380622155688693,0.9792692814614057
9,MIC Sa,2.359932684495397,2.3381392622628194,2.223826856785665,0.02179342223257752
9,MBC Sa,4.009555596984884,3.5580604303213086,3.62860918704454,0.4514951666635758
9,MIC Ec,1.2051434586807055,1.827497031755477,2.0466084380287315,-0.6223535730747716
9,MBC Ec,4.680357083181484,5.427717516462714,5.67812038562148,-0.74736043328123
10,MIC Sa,1.698922643833005,1.2961406346328939,1.2766271720136786,0.4027820092001111
10,MBC Sa,3.157035907755698,2.6260168128082966,2.592936160212592,0.5310190949474016
10,MIC Ec,1.6302097845592733,1.0145041845626603,1.0787929491638453,0.615705599996613
10,MBC Ec,2.1250055115019126,1.4522029568734367,1.4548276770714836,0.6728025546284759
11,MIC Sa,1.4344311219368784,1.606527837864618,1.6351435720154321,-0.17209671592773956
11,MBC Sa,1.126440671885267,1.4863773994569547,1.4881931878846766,-0.3599367275716876
11,MIC Ec,2.5730646249117917,3.042092255678873,2.9597097813426188,-0.4690276307670813
11,MBC Ec,3.876972579940084,4.6662871385422315,4.444257347169767,-0.7893145586021477
12,MIC Sa,0.43852733617160133,0.20453372922758084,0.6437084194050726,0.2339936069440205
12,MBC Sa,0.3203112776763004,0.1353988570154927,0.3574761925928387,0.1849124206608077
12,MIC Ec,0.14401256732927115,0.6028027832399716,0.3472667679783106,-0.45879021591070046
12,MBC Ec,0.40922179721760177,0.8831145958359956,0.6112229842951784,-0.47389279861839384
13,MIC Sa,1.0918771228120088,0.22757812690756407,0.5644867604109276,0.8642989959044447
13,MBC Sa,1.0091784539002515,1.174267015407843,1.4524877086298131,-0.16508856150759144
13,MIC Ec,1.3897643475298702,0.35268123181163347,0.5464356831575756,1.0370831157182367
13,MBC Ec,1.8582486189560203,1.7799322814263974,1.5928562462041862,0.07831633752962297
14,MIC Sa,0.4732127873351577,0.8881643096474108,0.11216762402586644,-0.4149515223122531
14,MBC Sa,0.6409635537251583,0.7868206020766357,0.8125784673772913,-0.1458570483514774
14,MIC Ec,0.7662766667004588,1.4986917930664005,0.7528268287031441,-0.7324151263659417
14,MBC Ec,0.24549983247802754,0.22008825484650707,0.13434302615829985,0.025411577631520466
15,MIC Sa,0.8544874574040637,1.9666252860040896,1.1001541919446172,-1.1121378286000259
15,MBC Sa,1.0998936577261071,1.4936159828004643,1.4925131767767228,-0.3937223250743571
15,MIC Ec,1.4647943298193766,2.542440039445169,2.035045276560072,-1.0776457096257923
15,MBC Ec,1.0068505268990844,0.99895754768127,1.0831133385875118,0.0078929792178144
16,MIC Sa,1.781289209887286,3.448416985024801,2.196222986051126,-1.6671277751375153
16,MBC Sa,4.083047818128031,5.0640498102405616,4.566851611436312,-0.9810019921125308
16,MIC Ec,0.27062808265407945,1.9250140815488979,0.9441242609245206,-1.6543859988948184
16,MBC Ec,0.2727851274493789,0.4898572041708711,0.15008909571334783,-0.2170720767214922
