a,b,mean_delta_rmse,ci_lo,ci_hi
emb_cls,emb_reg,-0.086387676388666,-0.22701126397374857,0.05385183509443895
emb_cls,molformer,-0.12302214640743538,-0.27657979987541126,0.029068605815907707
emb_reg,molformer,-0.036634470018769356,-0.13358953644826904,0.06452600955433309
